date,open,high,low,close,volume
2015-12-11,47.29,47.66,46.01,46.14,2193090
2015-12-14,46.37,47.72,46.3428,46.94,1023951
2015-12-15,47.47,49.19,46.8,48.41,997830
2015-12-16,48.94,49.29,48.267,48.78,661107
2015-12-17,49.04,49.68,48.74,49.21,725796
2015-12-18,49.27,50.2,49.09,49.75,753073
2015-12-21,50.1,50.83,50.1,50.77,651644
2015-12-22,50.6,50.8,50.1,50.6,400751
2015-12-23,50.7,51.176,50.42,50.78,252698
2015-12-24,50.95,51.3,50.6,50.76,143049
2015-12-28,50.43,50.58,49.1,49.78,436586
2015-12-29,50.1,50.38,49.83,50.1,305892
2015-12-30,49.85,50.08,49.3,49.31,257393
2015-12-31,49.09,49.8,49.039,49.4,211569
2016-01-04,48.24,48.24,46.77,47.91,1049137
2016-01-05,48.0,48.88,47.882,48.28,429985
2016-01-06,47.6,50.54,47.43,50.04,1020943
2016-01-07,48.26,48.94,46.98,47.37,1571883
2016-01-08,47.39,48.325,47.17,47.23,793293
2016-01-11,47.47,47.47,44.45,45.18,1042586
2016-01-12,46.45,46.75,45.53,46.39,686714
2016-01-13,46.54,46.54,44.89,45.04,832639
2016-01-14,44.85,47.46,44.85,47.03,937938
2016-01-15,46.02,46.46,44.54,44.82,844795
2016-01-19,45.6,46.28,44.814,45.31,1510520
2016-01-20,44.35,45.55,42.595,45.04,761885
2016-01-21,44.5,45.96,43.91,45.19,483560
2016-01-22,46.4,46.96,44.86,45.5,482789
2016-01-25,45.37,45.75,44.91,45.4,247013
2016-01-26,45.47,45.89,43.9,45.75,378251
2016-01-27,45.35,45.66,44.342,44.59,495114
2016-01-28,45.87,46.198,43.48,43.71,496768
2016-01-29,43.96,46.01,43.75,45.95,641297
2016-02-01,45.44,46.73,44.85,46.46,613429
2016-02-02,46.0,46.16,43.53,43.66,1161553
2016-02-03,43.81,44.0,42.47,43.48,1112691
2016-02-04,43.38,43.8,42.85,43.55,457252
2016-02-05,43.35,43.45,41.53,41.75,525396
2016-02-08,40.99,41.74,40.65,41.36,432424
2016-02-09,40.81,42.93,40.61,41.32,372279
2016-02-10,41.84,42.58,41.01,41.21,289916
2016-02-11,39.87,40.96,39.58,40.27,548759
2016-02-12,40.12,42.6,40.12,41.85,584457
2016-02-16,43.0,43.87,42.15,43.3,660854
2016-02-17,43.41,43.77,42.62,43.06,451003
2016-02-18,43.35,43.63,42.6,43.12,260497
2016-02-19,43.07,43.95,43.02,43.67,232371
2016-02-22,43.87,44.83,43.66,44.13,284309
2016-02-23,43.65,43.94,42.81,43.54,315722
2016-02-24,43.09,43.52,42.15,43.29,355586
2016-02-25,42.72,43.0,41.62,42.75,372348
2016-02-26,43.61,44.2,43.08,44.06,357080
2016-02-29,43.87,44.12,42.71,42.72,370840
2016-03-01,43.32,43.76,42.89,43.21,593571
2016-03-02,43.55,44.07,43.17,43.75,849682
2016-03-03,42.0,43.46,42.0,43.0,1201094
2016-03-04,43.07,43.96,42.95,43.63,631867
2016-03-07,43.23,43.68,42.88,43.24,354533
2016-03-08,42.94,43.63,42.64,43.51,390733
2016-03-09,43.75,44.1499,43.05,44.07,387432
2016-03-10,44.42,44.59,43.54,43.72,620094
2016-03-11,43.99,48.17,43.99,47.38,1553816
2016-03-14,47.01,47.55,46.36,46.75,549425
2016-03-15,46.41,46.95,46.28,46.65,531907
2016-03-16,46.34,47.1613,46.0,46.95,422672
2016-03-17,47.24,48.25,46.0,47.86,441884
2016-03-18,48.0,48.242,47.23,47.78,432874
2016-03-21,47.96,48.84,47.78,48.11,374586
2016-03-22,47.72,49.0,47.71,48.85,422939
2016-03-23,48.84,49.38,46.61,46.76,671480
2016-03-24,46.67,47.351,46.0301,46.92,476639
2016-03-28,46.92,47.07,45.86,46.57,297521
2016-03-29,46.47,47.31,46.0,47.07,474111
2016-03-30,47.3,47.76,47.12,47.42,316911
2016-03-31,47.22,48.11,47.22,47.37,184128
2016-04-01,47.37,47.5,46.61,47.44,363579
2016-04-04,47.4,48.38,46.99,48.33,659403
2016-04-05,47.89,48.52,47.4,47.47,400514
2016-04-06,47.4,49.47,47.4,49.1,808835
2016-04-07,49.29,49.84,48.61,49.8,681442
2016-04-08,49.74,50.0,49.14,49.34,560437
2016-04-11,49.9,50.02,49.01,49.09,449023
2016-04-12,49.21,49.61,48.67,49.34,585237
2016-04-13,50.55,51.34,49.795,50.81,1063515
2016-04-14,50.8,50.985,49.83,50.08,742990
2016-04-15,50.2,50.2,49.76,49.99,511785
2016-04-18,49.92,50.49,49.58,50.48,474134
2016-04-19,50.48,50.52,48.94,49.13,392935
2016-04-20,49.35,49.78,49.07,49.22,422025
2016-04-21,49.45,51.68,49.45,51.14,1366071
2016-04-22,50.88,51.3799,50.12,51.0,703831
2016-04-25,50.75,50.99,50.02,50.13,576249
2016-04-26,50.49,51.8,50.34,51.73,991716
2016-04-27,51.51,51.546,49.5,50.06,1039290
2016-04-28,50.3,51.0,49.71,50.36,933083
2016-04-29,50.56,50.74,49.92,50.09,455063
2016-05-02,50.0,50.11,49.2599,49.79,556973
2016-05-03,49.74,50.41,49.39,49.86,771180
2016-05-04,49.96,50.67,49.71,50.48,609961
2016-05-05,51.0,51.6683,50.63,51.22,643508
2016-05-06,50.76,51.26,50.16,51.26,685176
2016-05-09,50.91,51.44,48.78,48.99,1434338
2016-05-10,49.0,49.8,48.13,49.5,1170520
2016-05-11,49.18,50.2,49.06,49.83,1196437
2016-05-12,49.89,50.77,46.75,47.91,1451515
2016-05-13,48.23,48.38,44.57,45.5,2553934
2016-05-16,46.05,47.0,45.32,46.35,663179
2016-05-17,46.15,47.22,45.8236,46.79,606240
2016-05-18,46.56,46.95,45.6,45.92,533339
2016-05-19,45.57,46.2899,45.06,45.38,537803
2016-05-20,45.88,46.42,45.1332,45.54,573063
2016-05-23,45.88,46.46,45.43,46.15,510972
2016-05-24,46.6,48.035,46.44,47.92,892815
2016-05-25,47.98,50.69,47.63,50.39,2070954
2016-05-26,50.25,51.0,49.76,50.49,979818
2016-05-27,50.58,51.81,50.48,51.12,1664847
2016-05-31,51.2,54.15,50.392,54.01,3572134
2016-06-01,53.36,54.23,52.71,54.11,1923400
2016-06-02,54.16,54.6,53.36,53.52,757057
2016-06-03,53.35,53.69,52.78,53.56,881304
2016-06-06,53.56,54.3996,53.18,54.17,646135
2016-06-07,54.38,54.38,53.375,53.93,701113
2016-06-08,53.78,53.96,52.87,53.25,614082
2016-06-09,53.02,53.39,52.56,52.96,847019
2016-06-10,52.92,52.92,52.08,52.23,363946
2016-06-13,51.62,52.13,50.53,50.91,957818
2016-06-14,50.53,51.2,50.27,51.0,584378
2016-06-15,51.37,51.69,50.56,50.62,685092
2016-06-16,50.43,50.63,49.01,49.8,801090
2016-06-17,49.7,50.125,49.13,49.27,600669
2016-06-20,49.87,50.18,49.21,49.26,451572
2016-06-21,49.31,49.825,48.92,48.98,280775
